Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,xG
Emmanuel Boateng\25f77a5f,MFFW,27,12,4,381,4.2,2,3,0.5
Ramón Ábila\db5ee72d,FW,31,12,0,225,2.5,3,0,1.0
Dominique Badji\758ac389,FWMF,28,12,3,328,3.6,5,0,1.6
Freddy Vargas\3c1e61cf,FW,21,13,7,536,6.0,0,0,0.7
Amro Tarek\52c930c0,DF,28,13,10,864,9.6,0,0,0.4
Kamohelo Mokotjo\7832f692,MF,29,13,4,462,5.1,0,0,0.1
Patrick Metcalfe\427e3820,DFMF,22,13,4,366,4.1,0,0,0.1
Nicolas Isimat-Mirin\14e8e9d7,DF,29,13,11,948,10.5,0,0,0.0
Sebastien Ibeagha\41ba8175,DF,29,13,8,662,7.4,0,0,0.2
Scott Caldwell\4a54592d,MF,29,13,2,205,2.3,0,0,0.4
Juan Agudelo\0cb2115f,FWMF,28,13,1,245,2.7,0,0,1.6
Eric Miller\c0593f5d,DF,28,13,12,1052,11.7,0,0,0.2
John McCarthy\249362e9,GK,28,13,12,1141,12.7,0,0,0.0
Carlos Terán\324509e2,DF,20,13,11,976,10.8,1,0,0.4
Brendan Hines-Ike\b807c1dc,DF,26,13,12,1049,11.7,1,0,0.7
Maynor Figueroa\d8524b21,DF,37,13,9,820,9.1,0,1,0.9
Ronald Hernández\de907bab,DF,23,13,8,634,7.0,1,0,0.5
Moussa Djitte\627b570a,FW,21,13,9,604,6.7,1,0,1.1
Gianluca Busio\4a0b7f07,MFFW,18,13,13,1151,12.8,2,2,1.9
Przemysław Frankowski\00a8d210,FWMF,25,13,12,1062,11.8,2,2,3.9
Jeremy Ebobisse\5fa7b2ec,FWMF,23,13,11,944,10.5,4,0,3.9
Santiago Moreno\3261d0e4,FWMF,20,13,3,355,3.9,0,2,0.6
Nicolas Benezet\30395d3b,FWMF,29,13,7,662,7.4,3,1,3.0
Corey Baird\2d0d1442,FW,25,13,9,750,8.3,3,2,2.9
Jarosław Niezgoda\60c659b6,FW,25,13,3,257,2.9,3,1,1.4
Eriq Zavaleta\edbfbb3f,DF,28,14,12,1017,11.3,0,0,0.0
Renzo Zambrano\526bf96c,MF,26,14,6,591,6.6,0,0,0.1
Milton Valenzuela\82318d24,DF,22,14,12,871,9.7,0,0,0.2
Tommy Thompson\5f6c69d8,DF,25,14,12,743,8.3,0,0,0.0
Brandon Servania\4d825a2d,MF,21,14,11,942,10.5,0,0,0.6
Oriol Rosell\2a17ef3e,MF,28,14,6,512,5.7,0,0,0.1
Tosaint Ricketts\54769358,FW,33,14,0,185,2.1,0,0,0.3
Cameron Dunbar\a8734f4a,FWMF,18,14,2,295,3.3,0,0,0.2
Abdoulaye Cissoko\52a6ef30,DF,21,14,12,962,10.7,0,0,0.8
Niko Hämäläinen\4435db1e,DF,23,14,12,1146,12.7,0,0,0.2
Florian Jungwirth\f179c207,DF,32,14,12,1127,12.5,1,0,0.4
Florian Jungwirth\f179c207,DFMF,32,14,13,1090,12.1,0,1,0.7
Edgar Castillo\3cdde01b,DF,34,14,12,976,10.8,1,0,0.4
Lucas Esteves\c6ec0258,DF,20,14,9,927,10.3,1,0,1.9
Noble Okello\6bc16162,MF,20,14,10,852,9.5,0,1,0.2
Dom Dwyer\bdfc15f8,FW,30,14,6,496,5.5,0,1,1.2
Jaylin Lindsey\83cb6e59,DF,20,14,9,919,10.2,2,0,0.7
Eryk Williamson\e0364352,MF,23,14,11,949,10.5,1,2,0.9
Ifunanyachi Achara\d31bf83e,FWMF,23,14,10,821,9.1,2,1,3.1
Paxten Aaronson\4cd41883,MFFW,17,14,5,598,6.6,3,0,1.3
Dejan Joveljić\95a24690,FW,21,14,6,721,8.0,2,2,2.0
Mason Toye\0aa41f67,FW,22,14,10,889,9.9,7,0,6.1
Daniel Royer\a92a4407,FWMF,30,15,3,493,5.5,0,0,2.0
Jacori Hayes\d2173b7b,MF,25,15,7,524,5.8,0,0,0.2
Bryce Duke\59557625,MFFW,19,15,3,461,5.1,0,0,0.2
Przemysław Tytoń\1fa85681,GK,34,15,14,1286,14.3,0,0,0.0
Stefan Cleveland\873fdbdf,GK,26,15,15,1350,15.0,0,0,0.0
Eddie Segura\c70e3fe0,DF,23,15,14,1284,14.3,0,1,0.4
Caio Alexandre\08ac23b7,MF,21,15,11,956,10.6,0,1,0.9
Ján Greguš\7d974435,MF,30,15,9,772,8.6,0,1,0.4
George Campbell\45e1a597,DF,19,15,6,633,7.0,1,0,0.1
Mark-Anthony Kaye\36a38acd,MFFW,26,15,14,1095,12.2,1,1,2.5
Justin Che\3c569f37,DF,17,15,12,1016,11.3,0,3,0.2
Lassi Lappalainen\bcb2282d,DFFW,22,15,7,560,6.2,1,1,1.2
Talles Magno\64c98878,FWMF,18,15,5,450,5.0,2,0,1.6
Brian Rodríguez\c86041d7,FWMF,20,15,13,1019,11.3,4,2,3.5
Luiz Araújo\fa18c72e,FWMF,24,15,13,1148,12.8,4,3,3.7
Kekuta Manneh\4d735ad6,FWMF,26,16,2,344,3.8,0,0,0.8
Aboubacar Keita\85fbf1e4,DF,20,16,10,955,10.6,0,0,0.0
Franco Ibarra\db6540c5,MF,19,16,9,780,8.7,0,0,0.1
Calvin Harris\07b0aeef,MFFW,20,16,4,453,5.0,0,0,0.4
Boniek García\889ce425,DFMF,36,16,6,708,7.9,0,0,0.1
Andrew Brody\33e46323,DF,25,16,12,1077,12.0,0,1,0.1
Collen Warner\75babbce,MF,32,16,11,873,9.7,1,0,0.3
Emmanuel Más\b9385e1f,DF,32,16,7,684,7.6,0,1,0.1
Nick DeLeon\21490b0d,MFFW,30,16,5,631,7.0,1,0,1.4
Cameron Duke\c679d9fd,MFDF,19,16,6,663,7.4,2,0,1.0
Yamil Asad\a444689a,MFFW,26,16,8,650,7.2,2,1,1.8
Jozy Altidore\8db8ad1e,FW,31,16,8,768,8.5,4,0,2.6
Edison Flores\ef2c82f8,FWMF,26,16,11,971,10.8,2,4,3.0
Francisco Ginella\5a28a782,MF,22,17,9,885,9.8,0,0,0.7
Joey DeZart\9d7142a6,MF,22,17,7,565,6.3,0,0,0.1
Elliot Collier\5804f03b,FWMF,25,17,3,335,3.7,0,0,0.9
Vito Wormgoor\31d7acd1,DF,32,17,16,1287,14.3,0,0,0.1
Taylor Washington\480d3bcc,DF,27,17,12,1031,11.5,0,0,0.0
Stefan Frei\1d0a0f3e,GK,34,17,17,1530,17.0,0,0,0.0
Teenage Hadebe\582952f2,DF,25,17,17,1484,16.5,0,1,0.3
